model,balanced_accuracy,f1,precision,recall,roc_auc,threshold,persistence,overall_active_rate,num_rows
dummy,0.5,0.8792593187533524,0.7850535674729725,1.0,,30,1,0.7851666325904723,19564
gradient_boosting,0.8059567365873828,0.9255294424854482,0.9159736959955783,0.9353317923246479,0.9302421438328872,30,1,0.7851666325904723,19564
logistic_regression,0.8534190437104759,0.8904863001663584,0.9620651928156119,0.8291323841880267,0.9246837703935618,30,1,0.7851666325904723,19564
random_forest,0.8610793815462191,0.9152205481609187,0.9554596034888316,0.878291229300034,0.9311191780480726,30,1,0.7851666325904723,19564
dummy,0.5,0.8784215424793181,0.7837049833942058,1.0,,30,2,0.7835820895522388,19564
gradient_boosting,0.8072253967146904,0.9254856091669681,0.9159148450965326,0.9352952961433466,0.9313047749420571,30,2,0.7835820895522388,19564
logistic_regression,0.853107721622321,0.8901664888184296,0.9616500653437683,0.8289632889953865,0.9253158701755768,30,2,0.7835820895522388,19564
random_forest,0.8617841258778491,0.9154961524135521,0.9551732626304568,0.8790309818777716,0.9321533713118901,30,2,0.7835820895522388,19564
dummy,0.5,0.8726021378672856,0.7744797278521679,1.0,,30,3,0.7743815170721734,19564
gradient_boosting,0.8124329435369462,0.9240511310968719,0.9142166131171878,0.9341260837856962,0.9335467536969538,30,3,0.7743815170721734,19564
logistic_regression,0.8522701834919362,0.8912495057340198,0.9578437158974449,0.8335745639211335,0.9267425172661482,30,3,0.7743815170721734,19564
random_forest,0.8624774209716072,0.914777698781421,0.9524830266983484,0.879982134953143,0.9342730523565992,30,3,0.7743815170721734,19564
dummy,0.5,0.8462851979539848,0.7340489160283004,1.0,,50,1,0.7340012267429974,19564
gradient_boosting,0.8248851250727095,0.9131793352244592,0.9063219460578077,0.9202157343663538,0.925564876887254,50,1,0.7340012267429974,19564
logistic_regression,0.8489673339929639,0.8847758067117443,0.9452685694258439,0.832043776050205,0.9220867704824657,50,1,0.7340012267429974,19564
random_forest,0.8595262915576832,0.9050333221231429,0.9416694319678482,0.8712009269914263,0.9284512730415532,50,1,0.7340012267429974,19564
dummy,0.5,0.8459212501418446,0.7334930792741164,1.0,,50,2,0.7332856266612144,19564
gradient_boosting,0.8254212503104537,0.9129575673273004,0.9064109042069481,0.9196599759561708,0.9260962397114411,50,2,0.7332856266612144,19564
logistic_regression,0.8486169655026862,0.8848865641183162,0.9446577185429663,0.8326868515493607,0.9222538660519545,50,2,0.7332856266612144,19564
random_forest,0.8596466794817766,0.904909582073847,0.9416860340272518,0.8709438880534206,0.9284681124883489,50,2,0.7332856266612144,19564
dummy,0.5,0.8420199302019608,0.7276278240586143,1.0,,50,3,0.7275097117153956,19564
gradient_boosting,0.8266032371404856,0.9126708800954052,0.9039175802836817,0.9216732533246876,0.928381566149686,50,3,0.7275097117153956,19564
logistic_regression,0.849700814430236,0.8859166106370263,0.9427815184651821,0.8358970811739287,0.9241818497782702,50,3,0.7275097117153956,19564
random_forest,0.862103732641768,0.9071124209686806,0.9400680560220714,0.8764117636412662,0.9306835526017622,50,3,0.7275097117153956,19564
dummy,0.5,0.8193456718739648,0.694471408319523,1.0,,70,1,0.695716622367614,19564
gradient_boosting,0.833515010831781,0.9011021853321247,0.897976285802437,0.9043810600533241,0.9249470802736329,70,1,0.695716622367614,19564
logistic_regression,0.8481511202530437,0.8798140368491069,0.9329016556559293,0.8327052875957608,0.9207324732029208,70,1,0.695716622367614,19564
random_forest,0.855359073019547,0.8916961682389387,0.9307696980784289,0.8558726950783773,0.9264735096034203,70,1,0.695716622367614,19564
dummy,0.5,0.8190798152176497,0.6940836138240121,1.0,,70,2,0.6952054794520548,19564
gradient_boosting,0.8315073596867979,0.9002043975340371,0.8964597046696307,0.9041505268957063,0.925478422361771,70,2,0.6952054794520548,19564
logistic_regression,0.8477305060542474,0.879611830138038,0.9323680743541365,0.8327732895455083,0.9207436343102541,70,2,0.6952054794520548,19564
random_forest,0.8553927905166145,0.891749914011529,0.9306649048227585,0.8560574059787759,0.926505455236503,70,2,0.6952054794520548,19564
dummy,0.5,0.8163512546277106,0.6901703015531183,1.0,,70,3,0.6911163361275813,19564
gradient_boosting,0.8355258955374976,0.9007150967460519,0.8974052080624705,0.9041274616333155,0.9273282898682939,70,3,0.6911163361275813,19564
logistic_regression,0.8496879544469825,0.881439026819855,0.9315383037646391,0.8366451645237936,0.9226015177679581,70,3,0.6911163361275813,19564
random_forest,0.8572344280150274,0.8935607554805624,0.9293721427318354,0.8604416707529648,0.9281748894263081,70,3,0.6911163361275813,19564
dummy,0.5,0.7853282944371673,0.6471277067622713,1.0,,100,1,0.6503782457575138,19564
gradient_boosting,0.8433755402223689,0.8867251825898976,0.8916026995462792,0.8820383122064975,0.9241679023988086,100,1,0.6503782457575138,19564
logistic_regression,0.8469544735634483,0.8743720881228167,0.9138313430519928,0.8382032420661599,0.9194020372014314,100,1,0.6503782457575138,19564
random_forest,0.8526266126047103,0.8774307733217984,0.9195568896054324,0.8392229631281932,0.9238074565321278,100,1,0.6503782457575138,19564
dummy,0.5,0.7852221633003961,0.6469794938409362,1.0,,100,2,0.6501226742997342,19564
gradient_boosting,0.8455837453723967,0.8880798513005335,0.8934983735129944,0.8828316721063945,0.9249870810528646,100,2,0.6501226742997342,19564
logistic_regression,0.8469118199853796,0.8742815783406819,0.9138442961830638,0.8380305222437271,0.9193991590549085,100,2,0.6501226742997342,19564
random_forest,0.8535905764929869,0.8786774942190552,0.9194300488103676,0.8415860042322422,0.9235868709155711,100,2,0.6501226742997342,19564
dummy,0.5,0.7834724213358211,0.6446106167255906,1.0,,100,3,0.6476180740134941,19564
gradient_boosting,0.8468273891481094,0.8886150063301809,0.8932305177456845,0.8841658239533428,0.926565947320665,100,3,0.6476180740134941,19564
logistic_regression,0.8475981085238181,0.875020399151165,0.9126932906051214,0.8403493478652674,0.920809960512421,100,3,0.6476180740134941,19564
random_forest,0.8540107361220048,0.8792715195621136,0.918264391994541,0.8436379788049687,0.9249305204239939,100,3,0.6476180740134941,19564
